NAME,SECTOR,SCRIP
Sita Enterprises Ltd.,Finance - NBFC,512589
Unimode Overseas Ltd.,Trading,512595
Keynote Financial Services Ltd.,Finance - Investment,KEYFINSERV
Adani Enterprises Ltd.,Trading,ADANIENT
Macro International Ltd.,Trading,512600
Haria Exports Ltd.,Trading,HARIAEXPO
Bhandari Hosiery Exports Ltd.,Textile,BHANDARI
RLF Ltd.,Textile,512618
Regent Enterprises Ltd.,Finance - NBFC,512624
Orbit Exports Ltd.,Textile,ORBTEXP
Savera Industries Ltd.,Hotel,SAVERA
VBC Ferro Alloys Ltd.,Ferro &amp; Silica Manganese,513005
Tata Steel Long Products Ltd.,Steel-Sponge Iron-Pig Iron,TATASTLLP
Nava Bharat Ventures Ltd.,Power Generation-Distribution,NBVENTURES
Remi Edelstahl Tubulars Ltd.,Steel &amp; Iron Products,513043
GS Auto International Ltd.,Auto Ancillary,513059
Trans Freight Containers Ltd.,Engineering - Industrial Equipments,TRANSFREIT
Shivalik Bimetal Controls Ltd.,Metal - Non Ferrous,SBCL
Gandhi Special Tubes Ltd.,Steel &amp; Iron Products,GANDHITUBE
Amforge Industries Ltd.,Trading,AMFORGEIND
ABC Gas (International) Ltd.,Metal - Non Ferrous,513119
Oricon Enterprises Ltd.,Petrochemicals,ORICONENT
Balasore Alloys Ltd.,Ferro &amp; Silica Manganese,ISPATALLOY
Acrow India Ltd.,Engineering - Industrial Equipments,513149
STI India Ltd.,Textile - Spinning,STINDIA
Steel Strips Infrastructures Ltd.,Construction - Real Estate,513173
National Steel &amp; Agro Industries Ltd.,Steel &amp; Iron Products,NATNLSTEEL
Uttam Galva Steels Ltd.,Steel &amp; Iron Products,UTTAMSTL
Pennar Industries Ltd.,Steel &amp; Iron Products,PENIND
Jyoti Structures Ltd.,Transmission Towers - Equipments,JYOTISTRUC
Jay Ushin Ltd.,Auto Ancillary,513252
Steel Strips Wheels Ltd.,Auto Ancillary,SSWL
Man Industries (India) Ltd.,Castings-Forgings,MANINDS
IMEC Services Ltd.,Trading,RUCHISTRIP
Modern Steels Ltd.,Steel &amp; Iron Products,513303
Terrascope Ventures Ltd.,Metal - Ferrous,513305
Synthiko Foils Ltd.,Packaging,513307
Golkonda Aluminium Extrusions Ltd.,Aluminium &amp; Aluminium Products,513309
Metalyst Forgings Ltd.,Forgings,METALFORGE
Gujarat Toolroom Ltd.,Engineering,513337
Grand Foundry Ltd.,Steel &amp; Iron Products,GFSTEELS
Ajmera Realty &amp; Infra India Ltd.,Construction - Real Estate,AJMERA
Cochin Minerals &amp; Rutile Ltd.,Chemicals,513353
India Steel Works Ltd.,Steel &amp; Iron Products,ISIBARS
Rajkumar Forge Ltd.,Forgings,513369
Carborundum Universal Ltd.,Abrasives,CARBORUNIV
MMTC Ltd.,Trading,MMTC
Vallabh Steels Ltd.,Steel &amp; Iron Products,513397
Ashiana Ispat Ltd.,Steel &amp; Iron Products,513401
PM Telelinks Ltd.,Trading,513403
Smiths &amp; Founders (India) Ltd.,Forgings,513418
Bloom Industries Ltd.,Metal - Ferrous,513422
Maitri Enterprises Ltd.,Miscellaneous,513430
Tata Metaliks Ltd.,Steel-Sponge Iron-Pig Iron,TATAMETALI
Shah Alloys Ltd.,Steel &amp; Iron Products,SHAHALLOYS
JSW Ispat Special Products Ltd.,Steel &amp; Iron Products,JSWISPL
Elango Industries Ltd.,Steel-Sponge Iron-Pig Iron,513452
Kanishk Steel Industries Ltd.,Steel &amp; Iron Products,513456
Mahalaxmi Seamless Ltd.,Steel &amp; Iron Products,513460
Simplex Castings Ltd.,Castings-Forgings,SIMPLEXCAS
Shree Steel Wire Ropes Ltd.,Steel &amp; Iron Products,513488
Southern Magnesium &amp; Chemicals Ltd.,Metal - Non Ferrous,513498
Baroda Extrusion Ltd.,Metal - Non Ferrous,513502
Gujarat Containers Ltd.,Engineering - Industrial Equipments,513507
Kalyani Forge Ltd.,Forgings,KALYANIFRG
Panchmahal Steel Ltd.,Steel &amp; Iron Products,PANCHMSTEL
Aditya Ispat Ltd.,Steel &amp; Iron Products,513513
SR Industries Ltd.,Household &amp; Personal Products,513515
Steelcast Ltd.,Castings-Forgings,STEELCAS
Pitti Engineering Ltd.,Engineering,PITTIENG
Glittek Granites Ltd.,Ceramics-Marble-Granite-Sanitaryware,513528
Pradeep Metals Ltd.,Engineering - Industrial Equipments,513532
Gujarat Natural Resources Ltd.,Oil Exploration,513536
Tamilnadu Steel Tubes Ltd.,Steel &amp; Iron Products,513540
Sharda Ispat Ltd.,Metal - Ferrous,513548
Mahamaya Steel Industries Ltd.,Steel &amp; Iron Products,MAHASTEEL
Real Strips Ltd.,Steel &amp; Iron Products,513558
Nova Iron &amp; Steel Ltd.,Steel &amp; Iron Products,NOVAIRNSTL
Foundry Fuel Products Ltd.,Industrial  Gases &amp; Fuels,513579
Hindustan Copper Ltd.,Metal - Non Ferrous,HINDCOPPER
Srikalahasthi Pipes Ltd.,Castings-Forgings,SRIPIPES
Axel Polymers Ltd.,Plastic Products,513642
NLC India Ltd.,Power Generation-Distribution,NLCINDIA
Spectra Industries Ltd.,Auto Ancillary,513687
JMT Auto Ltd.,Auto Ancillary,JMTAUTOLTD
KIC Metaliks Ltd.,Steel-Sponge Iron-Pig Iron,513693
Solid Stone Company Ltd.,Trading,513699
Shilp Gravures Ltd.,Engineering - Industrial Equipments,513709
White Organic Agro Ltd.,Trading,513713
MFS Intercorp Ltd.,Metal - Ferrous,513721
HG Industries Ltd.,Miscellaneous,HIMGRANITE
Aro Granite Industries Ltd.,Ceramics-Marble-Granite-Sanitaryware,AROGRANITE
Himachal Fibres Ltd.,Textile,514010
Rajkamal Synthetics Ltd.,Trading,514028
Deepak Spinners Ltd.,Textile - Spinning,DEEPAKSPIN
JBF Industries Ltd.,Textile - Manmade  Fibres,JBFIND
Loyal Textile Mills Ltd.,Textile,514036
Himatsingka Seide Ltd.,Textile,HIMATSEIDE
BSL Ltd.,Textile - Weaving,BSL
PBM Polytex Ltd.,Textile - Spinning,514087
Adinath Textiles Ltd.,Textile - Spinning,514113
Konark Synthetic Ltd.,Textile,514128
Suryalata Spinning Mills Ltd.,Textile - Spinning,514138
Suryavanshi Spinning Mills Ltd.,Textile - Spinning,SURYVANSPG
T.T. Ltd.,Textile,TTL
Uniworth Ltd.,Textile - Spinning,WOOLWORTH
Welspun India Ltd.,Textile,WELSPUNIND
Indian Acrylics Ltd.,Textile - Spinning,INDIANACRY
Ganesha Ecosphere Ltd.,Textile - Manmade  Fibres,GANECOS
Ceeta Industries Ltd.,Ceramics-Marble-Granite-Sanitaryware,514171
Vardhman Polytex Ltd.,Textile,VARDMNPOLY
Black Rose Industries Ltd.,Trading,514183
S&amp;T Corporation Ltd.,Construction - Real Estate,514197
Sumeet Industries Ltd.,Textile - Spinning,SUMEETINDS
Binny Ltd.,Textile,514215
K-Lifestyle Industries Ltd.,Textile,SHREEKRPOL
Ramgopal Polytex Ltd.,Trading,RAMGOPOLY
Sangam (India) Ltd.,Textile,SANGAMIND
IKAB Securities &amp; Investment Ltd.,Finance - NBFC,514238
Kush Industries Ltd.,Textile,SUZLONFIBR
Sreechem Resins Ltd.,Chemicals,514248
Seasons Textiles Ltd.,Textile,514264
Zenith Fibres Ltd.,Textile - Manmade  Fibres,514266
Bhilwara Spinners Ltd.,Trading,514272
Aarvee Denims &amp; Exports Ltd.,Textile - Weaving,AARVEEDEN
Sanrhea Technical Textiles Ltd.,Textile,514280
Ashima Ltd.,Textile,ASHIMASYN
Pioneer Embroideries Ltd.,Textile - Spinning,PIONEEREMB
Vippy Spinpro Ltd.,Textile - Spinning,514302
Jaihind Synthetics Ltd.,Trading,514312
Raghuvir Synthetics Ltd.,Textile,514316
Jattashankar Industries Ltd.,Textile - Manmade  Fibres,514318
Kamadgiri Fashion Ltd.,Textile - Manmade  Fibres,514322
Omnitex Industries (India) Ltd.,Trading,514324
Patspin India Ltd.,Textile - Spinning,PATSPINLTD
One Global Service Provider Ltd.,Textile,514330
Neo Infracon Ltd.,Construction - Real Estate,514332
Genesis IBRC India Ltd.,Plastic Products,514336
Premier Polyfilm Ltd.,Plastic Products,PREMIERPOL
Everlon Financials Ltd.,Textile - Spinning,514358
K&amp;R Rail Engineering Ltd.,Engineering - Construction,514360
Yarn Syndicate Ltd.,Trading,514378
Gujarat Cotex Ltd.,Trading,GUJCOTEX
Atlas Jewellery India Ltd.,Trading,514394
Garware Synthetics Ltd.,Textile - Spinning,514400
Sharad Fibres &amp; Yarn Processors Ltd.,Textile,514402
Sarup Industries Ltd.,Household &amp; Personal Products,514412
Mangalam Organics Ltd.,Chemicals,MANORG
Hindustan Adhesives Ltd.,Plastic Products,514428
Blue Pearl Texspin Ltd.,Trading,514440
Sri KPR Industries Ltd.,Cement &amp; Construction Materials,514442
Jyoti Resins &amp; Adhesives Ltd.,Chemicals,514448
Mahalaxmi Rubtech Ltd.,Textile,514450
Southern Latex Ltd.,Textile,514454
Oswal Yarns Ltd.,Textile,514460
Winsome Textile Industries Ltd.,Textile,514470
Asahi Industries Ltd.,Textile - Spinning,514482
Thambbi Modern Spinning Mills Ltd.,Textile - Spinning,514484
Modern Insulators Ltd.,Electronics - Components,MODINSULAT
Regency Ceramics Ltd.,Ceramics-Marble-Granite-Sanitaryware,REGENCERAM
Asahi India Glass Ltd.,Glass,ASAHIINDIA
Murudeshwar Ceramics Ltd.,Ceramics-Marble-Granite-Sanitaryware,MURUDCERA
Saint-Gobain Sekurit India Ltd.,Glass,515043
Anant Raj Ltd.,Construction - Real Estate,ANANTRAJ
Madhusudan Industries Ltd.,Trading,MADSUDIND
Sri Vajra Granites Ltd.,Ceramics-Marble-Granite-Sanitaryware,515081
Restile Ceramics Ltd.,Ceramics-Marble-Granite-Sanitaryware,515085
Madhav Marbles And Granites Ltd.,Ceramics-Marble-Granite-Sanitaryware,MADHAV
Ramasigns Industries Ltd.,Trading,515127
Hindusthan National Glass &amp; Industries Ltd.,Glass,HINDNATGLS
Haldyn Glass Ltd.,Glass,515147
Duroply Industries Ltd.,Wood &amp; Wood Products,516003
Mangalam Timber Products Ltd.,Wood &amp; Wood Products,MANGTIMBER
Shreyans Industries Ltd.,Paper &amp; Paper Products,SHREYANIND
Agio Paper &amp; Industries Ltd.,Paper &amp; Paper Products,516020
Star Paper Mills Ltd.,Paper &amp; Paper Products,STARPAPER
Yash Pakka Ltd.,Paper &amp; Paper Products,516030
Sarda Papers Ltd.,Paper &amp; Paper Products,516032
National Plywood Industries Ltd.,Wood &amp; Wood Products,516062
Arrow Greentech Ltd.,Miscellaneous,ARROWGREEN
Vishnu Chemicals Ltd.,Chemicals,VISHNU
Jumbo Bag Ltd.,Plastic Products,JUMBO
NR Agarwal Industries Ltd.,Paper &amp; Paper Products,NRAIL
Shree Rajeshwaranand Paper Mills Ltd.,Paper &amp; Paper Products,516086
3P Land Holdings Ltd.,Finance - Investment,3PLAND
Sangal Papers Ltd.,Paper &amp; Paper Products,516096
Ventura Textiles Ltd.,Textile,516098
Shree Karthik Papers Ltd.,Paper &amp; Paper Products,516106
South India Paper Mills Ltd.,Paper &amp; Paper Products,SIPAPER
Scandent Imaging Ltd.,Packaging,516110
Vindhya Telelinks Ltd.,Engineering - Construction,VINDHYATEL
Ruttonsha International Rectifier Ltd.,Electronics - Components,517035
Ador Welding Ltd.,Electrodes &amp; Welding Equipment,ADORWELD
International Data Management Ltd.,IT - Hardware,517044
Salzer Electronics Ltd.,Cable,SALZERELEC
Jetking Infotrain Ltd.,IT - Education,517063
Ind-Agiv Commerce Ltd.,Trading,517077
Aplab Ltd.,Electric Equipment,APLAB
PCS Technology Ltd.,IT - Hardware,517119
Usha Martin Ltd.,Steel &amp; Iron Products,USHAMART
SPEL Semiconductor Ltd.,Electronics - Components,SPICELEC
Subros Ltd.,Auto Ancillary,SUBROS
Effulgent Infomedia Ltd.,Electronics - Components,517170
Honeywell Automation India Ltd.,Consumer Durables - Electronics,HONAUT
Switching Technologies Gunther Ltd.,Electronics - Components,517201
Lumax Industries Ltd.,Auto Ancillary,LUMAXIND
Digispice Technologies Ltd.,IT - Software,DIGISPICE
PAE Ltd.,Trading,PAEL
Calcom Vision Ltd.,Electric Equipment,517236
Dynavision Ltd.,Miscellaneous,517238
BCC Fuba India Ltd.,Electronics - Components,517246
Precision Electronics Ltd.,Engineering - Construction,517258
Fine-Line Circuits Ltd.,Electronics - Components,517264
HBL Power Systems Ltd.,Batteries,HBLPOWER
S&amp;S Power Switchgear Ltd.,Electric Equipment,S&SPOWER
Gujarat Poly Electronics Ltd.,Electronics - Components,517288
Gujarat Industries Power Company Ltd.,Power Generation-Distribution,GIPCL
Savant Infocomm Ltd.,Cable,517320
CMI Ltd.,Cable,CMICABLES
Motherson Sumi Systems Ltd.,Auto Ancillary,MOTHERSUMI
Mindteck (India) Ltd.,IT - Software,MINDTECK
Havells India Ltd.,Electric Equipment,HAVELLS
ACI Infocom Ltd.,IT - Hardware,517356
Incap Ltd.,Electronics - Components,517370
Gujarat Intrux Ltd.,Castings-Forgings,517372
Igarashi Motors India Ltd.,Electric Equipment,IGARASHI
Symphony Ltd.,Consumer Durables - Domestic Appliances,SYMPHONY
Vintron Informatics Ltd.,Electronics - Components,517393
Pan Electronics (India) Ltd.,Electronics - Components,517397
VXL Instruments Ltd.,IT - Hardware,VXLINSTR
Shyam Telecom Ltd.,Telecommunication - Equipment,SHYAMTEL
Lee &amp; Nee Softwares (Exports) Ltd.,IT - Software,517415
Patels Airtemp (India) Ltd.,Engineering - Industrial Equipments,517417
Butterfly Gandhimathi Appliances Ltd.,Consumer Durables - Domestic Appliances,BUTTERFLY
Athena Global Technologies Ltd.,IT - Software,517429
Narmada Macplast Drip Irrigation Systems Ltd.,Plastic Products,517431
Dutron Polymers Ltd.,Plastic Products,517437
RS Software (India) Ltd.,IT - Software,RSSOFTWARE
Magna Electro Castings Ltd.,Castings-Forgings,517449
Linaks Microelectronics Ltd.,Electronics - Components,517463
Marsons Ltd.,Electric Equipment,517467
Elnet Technologies Ltd.,IT - Software,ELNET
Accel Ltd.,IT - Hardware,517494
Websol Energy System Ltd.,Electronics - Components,WEBELSOLAR
Roto Pumps Ltd.,Compressors - Pumps,517500
TTK Prestige Ltd.,Consumer Durables - Domestic Appliances,TTKPRESTIG
D&amp;H India Ltd.,Electrodes &amp; Welding Equipment,517514
Rajratan Global Wire Ltd.,Steel &amp; Iron Products,RAJRATAN
Surana Telecom And Power Ltd.,Cable,SURANAT&P
Onward Technologies Ltd.,IT - Software,ONWARDTEC
Centum Electronics Ltd.,Electronics - Components,CENTUM
Alfa Transformers Ltd.,Electric Equipment,517546
Starlite Components Ltd.,Electric Equipment,517548
NHC Foods Ltd.,Consumer Food,517554
PVP Ventures Ltd.,Construction - Real Estate,PVP
Trigyn Technologies Ltd.,IT - Software,TRIGYN
KEI Industries Ltd.,Cable,KEI
IMP Powers Ltd.,Electric Equipment,INDLMETER
Keerthi Industries Ltd.,Cement &amp; Construction Materials,518011
Gujarat Sidhee Cement Ltd.,Cement &amp; Construction Materials,GSCLCEMENT
Suraj Products Ltd.,Steel-Sponge Iron-Pig Iron,518075
Anjani Portland Cement Ltd.,Cement &amp; Construction Materials,APCL
Modi Naturals Ltd.,Solvent  Extraction,519003
Prashant India Ltd.,Textile,519014
Shah Foods Ltd.,Consumer Food,519031
Khandelwal Extractions Ltd.,Solvent  Extraction,519064
Tasty Bite Eatables Ltd.,Consumer Food,TASTYBITE
Ritesh International Ltd.,Consumer Food,519097
AVT Natural Products Ltd.,Consumer Food,AVTNPL
Hindustan Foods Ltd.,Consumer Food,HNDFDS
Nahar Industrial Enterprises Ltd.,Textile - Spinning,NAHARINDUS
Vadilal Enterprises Ltd.,Consumer Food,519152
Vadilal Industries Ltd.,Consumer Food,VADILALIND
Ashiana Agro Industries Ltd.,Trading,519174
ADF Foods Ltd.,Consumer Food,ADFFOODS
Retro Green Revolution Ltd.,Tea-Coffee,519191
Williamson Financial Services Ltd.,Finance - NBFC,519214
Ajanta Soya Ltd.,Consumer Food,519216
Williamson Magor &amp; Company Ltd.,Finance - NBFC,WILLAMAGOR
Richirich Inventures Ltd.,Solvent  Extraction,519230
Superior Industrial Enterprises Ltd.,Paper &amp; Paper Products,519234
Saptarishi Agro Industries Ltd.,Agriculture,519238
Sarda Proteins Ltd.,Trading,519242
Sanwaria Consumer Ltd.,Solvent  Extraction,SANWARIA
Prima Agro Ltd.,Consumer Food,519262
Madhur Industries Ltd.,Trading,MADHURFOOD
Tarai Foods Ltd.,Agriculture,519285
Modern Dairies Ltd.,Consumer Food,519287
Bambino Agro Industries Ltd.,Consumer Food,519295
Prime Industries Ltd.,Consumer Food,519299
Vikas WSP Ltd.,Chemicals,VIKASWSP
Jatalia Global Ventures Ltd.,Trading,519319
VSF Projects Ltd.,Engineering - Construction,519331
Bansisons Tea Industries Ltd.,Tea-Coffee,519353
Poona Dal &amp; Oil Industries Ltd.,Solvent  Extraction,519359
Transglobe Foods Ltd.,Consumer Food,519367
Anik Industries Ltd.,Consumer Food,ANIKINDS
Sharat Industries Ltd.,Consumer Food,519397
Datiware Maritime Infra Ltd.,Aquaculture,519413
KMG Milk Food Ltd.,Consumer Food,519415
KSE Ltd.,Consumer Food,KSE
Pioneer Agro Extracts Ltd.,Solvent  Extraction,519439
Narbada Gems And Jewellery Ltd.,Trading,519455
Virat Crane Industries Ltd.,Consumer Food,519457
IB Infotech Enterprises Ltd.,Consumer Food,519463
Ambar Protein Industries Ltd.,Solvent  Extraction,519471
Chordia Food Products Ltd.,Consumer Food,519475
CIAN Agro Industries &amp; Infrastructure Ltd.,Solvent  Extraction,519477
Tai Industries Ltd.,Trading,519483
NK Industries Ltd.,Solvent  Extraction,NKIND
BKV Industries Ltd.,Aquaculture,519500
NCC Blue Water Products Ltd.,Aquaculture,519506
Norben Tea &amp; Exports Ltd.,Tea-Coffee,NORBTEAEXP
Asian Tea &amp; Exports Ltd.,Trading,519532
Heritage Foods Ltd.,Consumer Food,HERITGFOOD
Simran Farms Ltd.,Agriculture,519566
DFM Foods Ltd.,Consumer Food,DFMFOODS
CCL Products (India) Ltd.,Tea-Coffee,CCL
Kellton Tech Solutions Ltd.,IT - Software,KELLTONTEC
Suryo Foods &amp; Industries Ltd.,Consumer Food,519604
Integrated Proteins Ltd.,Miscellaneous,519606
Mahaan Foods Ltd.,Consumer Food,519612
Rico Auto Industries Ltd.,Auto Ancillary,RICOAUTO
Omax Autos Ltd.,Trading,OMAXAUTO
Munjal Showa Ltd.,Auto Ancillary,MUNJALSHOW
Jamna Auto Industries Ltd.,Auto Ancillary,JAMNAAUTO
Sundaram-Clayton Ltd.,Auto Ancillary,SUNCLAYLTD
JTEKT India Ltd.,Auto Ancillary,JTEKTINDIA
Munjal Auto Industries Ltd.,Auto Ancillary,MUNJALAU
Jay Bharat Maruti Ltd.,Auto Ancillary,JAYBARMARU
RACL Geartech Ltd.,Auto Ancillary,520073
Samkrg Pistons &amp; Rings Ltd.,Auto Ancillary,520075
Sical Logistics Ltd.,Logistics,SICAL
Ratnamani Metals &amp; Tubes Ltd.,Steel &amp; Iron Products,RATNAMANI
Vesuvius India Ltd.,Refractories,VESUVIUS
Automotive Stampings and Assemblies Ltd.,Auto Ancillary,ASAL
Arcee Industries Ltd.,Plastic Products,520121
ABC India Ltd.,Logistics,520123
Balurghat Technologies Ltd.,Logistics,BALURTRANS
Coastal Roadways Ltd.,Logistics,520131
Sibar Auto Parts Ltd.,Auto Ancillary,520141
Shreyas Shipping &amp; Logistics Ltd.,Shipping,SHREYAS
Starlog Enterprises Ltd.,Miscellaneous,ABGHEAVY
Titan Intech Ltd.,Textile,521005
Eurotex Industries And Exports Ltd.,Textile - Spinning,EUROTEXIND
Indo Count Industries Ltd.,Textile,ICIL
Maral Overseas Ltd.,Textile - Spinning,MARALOVER
Soma Textiles &amp; Industries Ltd.,Textile,SOMATEX
Source Industries (India) Ltd.,Textile,521036
Advance Lifestyles Ltd.,Textile,521048
Kakatiya Textiles Ltd.,Textile - Spinning,521054
Perfect-Octave Media Projects Ltd.,TV Broadcasting &amp; Software Production,521062
Trident Ltd.,Textile - Spinning,TRIDENT
Hisar Spinning Mills Ltd.,Textile - Spinning,521068
Alok Industries Ltd.,Textile,ALOKINDS
Pasari Spinning Mills Ltd.,Textile - Spinning,521080
CLC Industries Ltd.,Textile - Spinning,SPENTEX
Amarjothi Spinning Mills Ltd.,Textile - Spinning,AMARJOTHI
Olympia Industries Ltd.,Retailing,521105
Nagreeka Exports Ltd.,Textile - Spinning,NAGREEKEXP
Suditi Industries Ltd.,Textile,SUDITIND
Anjani Dham Industries Ltd.,Textile,521131
Gem Spinners India Ltd.,Textile - Spinning,GEMSPIN
Eureka Industries Ltd.,Textile - Spinning,521137
Aditya Spinners Ltd.,Textile - Spinning,ADITYASPIN
Prime Urban Development India Ltd.,Textile,521149
Dhanlaxmi Fabrics Ltd.,Textile,521151
Sri Lakshmi Saraswathi Textiles (Arni) Ltd.,Textile - Spinning,521161
Zodiac Clothing Company Ltd.,Textile,ZODIACLOTH
Gangotri Textiles Ltd.,Textile - Spinning,GANGOTRI
Sri Ramakrishna Mills (Coimbatore) Ltd.,Textile - Spinning,521178
Super Spinning Mills Ltd.,Textile - Spinning,SUPERSPIN
Seasons Furnishings Ltd.,Trading,521182
United Textiles Ltd.,Textile - Spinning,521188
SIL Investments Ltd.,Finance - NBFC,SILINV
Suryalakshmi Cotton Mills Ltd.,Textile,SURYALAXMI
Samtex Fashions Ltd.,Textile,521206
Cityman Ltd.,Textile,521210
Dhanalaxmi Roto Spinners Ltd.,Trading,521216
Damodar Industries Ltd.,Textile - Spinning,DAMODARIND
Sanblue Corporation Ltd.,Finance - NBFC,521222
Uniroyal Industries Ltd.,Textile,521226
Felix Global Venture Ltd.,Textile,521228
Sunil Industries Ltd.,Textile,521232
Sri Nachammai Cotton Mills Ltd.,Textile - Spinning,521234
KKRRAFTON Developers Ltd.,IT - Software,521238
Sambandam Spinning Mills Ltd.,Textile - Spinning,SAMBANDAM
Kandagiri Spinning Mills Ltd.,Textile - Spinning,KANDAGIRI
Chitradurga Spintex Ltd.,Textile - Spinning,521244
Kitex Garments Ltd.,Textile,KITEX
Cranex Ltd.,Engineering - Industrial Equipments,522001
Batliboi Ltd.,Engineering - Industrial Equipments,BATLIBOI
Austin Engineering Company Ltd.,Bearings,522005
United Drilling Tools Ltd.,Engineering - Industrial Equipments,UNIDT
Fluidomat Ltd.,Engineering - Industrial Equipments,522017
Ema India Ltd.,Engineering - Industrial Equipments,522027
Windsor Machines Ltd.,Engineering - Industrial Equipments,WINDMACHIN
Shanthi Gears Ltd.,Auto Ancillary,SHANTIGEAR
Miven Machine Tools Ltd.,Engineering - Industrial Equipments,522036
Honda India Power Products Ltd.,Electric Equipment,HONDAPOWER
The Hi-Tech Gears Ltd.,Auto Ancillary,HITECHGEAR
Elgi Equipments Ltd.,Compressors - Pumps,ELGIEQUIP
United Van Der Horst Ltd.,Engineering - Industrial Equipments,522091
Kilburn Engineering Ltd.,Engineering - Industrial Equipments,KILBUNENGG
Birla Precision Technologies Ltd.,Engineering - Industrial Equipments,522105
Yuken India Ltd.,Engineering - Industrial Equipments,YUKEN
Timken India Ltd.,Bearings,TIMKEN
Voith Paper Fabrics India Ltd.,Textile,PORRITSPEN
Artson Engineering Ltd.,Engineering - Industrial Equipments,ARTSONENGG
Solitaire Machine Tools Ltd.,Engineering - Industrial Equipments,522152
Diamond Power Infrastructure Ltd.,Cable,DIAPOWER
Indsil Hydro Power and Manganese Ltd.,Ferro &amp; Silica Manganese,522165
ITL Industries Ltd.,Engineering - Industrial Equipments,522183
Frontier Springs Ltd.,Steel &amp; Iron Products,522195
Praj Industries Ltd.,Engineering - Industrial Equipments,PRAJIND
Rasandik Engineering Industries India Ltd.,Auto Ancillary,522207
Yogi Infra Projects Ltd.,Construction - Real Estate,522209
HLE Glascoat Ltd.,Engineering - Industrial Equipments,HLEGLAS
Gujarat Apollo Industries Ltd.,Engineering - Industrial Equipments,GUJAPOLLO
Taneja Aerospace &amp; Aviation Ltd.,Airlines,TANEJAERO
Conart Engineers Ltd.,Engineering - Construction,522231
Shivagrico Implements Ltd.,Engineering,522237
MM Forgings Ltd.,Forgings,MMFL
Iykot Hitech Toolroom Ltd.,Engineering - Industrial Equipments,522245
Mayur Uniquoters Ltd.,Textile,MAYURUNIQ
Cenlub Industries Ltd.,Engineering - Industrial Equipments,522251
Rajoo Engineers Ltd.,Engineering - Industrial Equipments,522257
JMC Projects (India) Ltd.,Construction - Real Estate,JMCPROJECT
Veejay Lakshmi Engineering Works Ltd.,Textile - Machinery,522267
Ahmedabad Steelcraft Ltd.,Steel &amp; Iron Products,522273
GE T&amp;D India Ltd.,Electric Equipment,GET&D
Ram Ratna Wires Ltd.,Metal - Non Ferrous,522281
Jayaswal Neco Industries Ltd.,Steel &amp; Iron Products,JAYNECOIND
Kalpataru Power Transmission Ltd.,Transmission Towers - Equipments,KALPATPOWR
NMS Resources Global Ltd.,Trading,522289
Chandni Textiles Engineering Industries Ltd.,Textile,522292
T&amp;I Global Ltd.,Engineering - Industrial Equipments,522294
Control Print Ltd.,IT - Hardware,CONTROLPR
Bemco Hydraulics Ltd.,Engineering - Industrial Equipments,522650
Ansal Buildwell Ltd.,Construction - Real Estate,523007
Weizmann Ltd.,Textile,WEIZMANIND
BN Rathi Securities Ltd.,Finance - Stock Broking,523019
Rishi Techtex Ltd.,Plastic Products,RISHIPACK
Sinclairs Hotels Ltd.,Hotel,523023
Safari Industries (India) Ltd.,Household &amp; Personal Products,SAFARI
Binayak Tex Processors Ltd.,Textile,523054
JJ Finance Corporation Ltd.,Finance - NBFC,523062
Cosmo Ferrites Ltd.,Electronics - Components,523100
PlanterS Polysacks Ltd.,Plastic Products,523105
Futuristic Securities Ltd.,Finance - Investment,523113
Sanco Trans Ltd.,Logistics,523116
Ador Multiproducts Ltd.,Household &amp; Personal Products,523120
EIH Associated Hotels Ltd.,Hotel,EIHAHOTELS
Medi-Caps Ltd.,Chemicals,MEDICAPS
Otco International Ltd.,IT - Software,523151
Morganite Crucible (India) Ltd.,Refractories,523160
SIP Industries Ltd.,Floriculture,523164
B&amp;A Packaging India Ltd.,Paper &amp; Paper Products,523186
Aban Offshore Ltd.,Oil Exploration,ABAN
Kokuyo Camlin Ltd.,Printing &amp; Stationery,KOKUYOCMLN
Nicco Uco Alliance Credit Ltd.,Finance - NBFC,523209
SRM Energy Ltd.,Textile,523222
Bharat Seats Ltd.,Auto Ancillary,523229
Continental Petroleums Ltd.,Refineries,523232
NB Footwear Ltd.,Footwear,523242
Machino Plastics Ltd.,Auto Ancillary,523248
Pearl Polymers Ltd.,Plastic Products,PEARLPOLY
Venky'S (India) Ltd.,Agriculture,VENKEYS
Advani Hotels &amp; Resorts (India) Ltd.,Hotel,ADVANIHOTR
GV Films Ltd.,Film Production,523277
Superhouse Ltd.,Footwear,SUPERHOUSE
Rama Vision Ltd.,Trading,RAMAVISION
TCPL Packaging Ltd.,Packaging,TCPLPACK
Balmer Lawrie &amp; Company Ltd.,Diversified,BALMLAWRIE
Kovai Medical Center &amp; Hospital Ltd.,Hospital &amp; Healthcare Services,KOVAI
Eldeco Housing &amp; Industries Ltd.,Construction - Real Estate,523329
DCM Shriram Ltd.,Diversified,DCMSHRIRAM
DCM Shriram Industries Ltd.,Sugar,DCMSRIND
Mawana Sugars Ltd.,Sugar,MAWANASUG
Mini Diamonds (India) Ltd.,Diamond  &amp;  Jewellery,523373
Maha Rashtra Apex Corporation Ltd.,Finance - Investment,MAHAPEXLTD
Nilkamal Ltd.,Plastic Products,NILKAMAL
Triton Corp Ltd.,BPO-ITeS,TRITON
